"craftsman_id","craftsman_name","craftsman_address","craftsman_birthday","craftsman_email"
1,Griffith MacVay,"3370 Laurel Point",1994-02-15,drickwood1@soundcloud.com
2,Deeyn Jaggs,"85 Stone Corner Center",1996-12-26,clanghorn2@cnbc.com
3,Shawn Alentyev,"36752 Lyons Terrace",1993-01-18,lmcdougall3@trellian.com
4,Jorrie Brigginshaw,"5693 Boyd Junction",2001-12-28,dfettes4@youtube.com
5,Fae Winscomb,"2705 Elgar Trail",2004-07-15,vlapree5@360.cn
6,Emelda Sanney,"42 Dottie Park",1990-08-14,sdumphries6@cyberchimps.com
7,Roger Daal,"196 Milwaukee Circle",2003-05-01,bbutten7@eventbrite.com
8,Lyle Andreasson,"86664 Debs Crossing",2002-01-03,ltillot8@stanford.edu
9,Horacio Brattell,"842 Aberg Drive",1997-03-22,zde9@shareasale.com
10,Constantine Arni,"231 Sunfield Court",1995-11-27,mjacquemarda@w3.org
11,Reginauld Sustins,"76 Clove Trail",1994-06-08,tdomencb@feedburner.com
12,Demetre Balam,"37068 Becker Hill",2001-10-21,rmelledyc@studiopress.com
13,Ailina Luckham,"7 Pawling Trail",2004-09-15,awallsamd@admin.ch
14,Lawry Polley,"9455 Shoshone Road",2003-07-06,agajewskie@scribd.com
15,Phylis Munton,"6 Karstens Court",1998-12-21,bziemeckif@microsoft.com
16,Caroline Guwer,"2687 Anzinger Trail",2000-09-14,klyptrattg@cbsnews.com
17,Maggee Berthelmot,"4991 Meadow Vale Lane",1998-10-04,wbrownseah@about.me
18,Lisbeth Timothy,"5 David Street",1999-10-13,elincolni@imageshack.us
19,Man Fellos,"7368 Ramsey Drive",1999-12-02,pdumphreyj@comcast.net
20,Gilburt Godbolt,"719 Fordem Way",1993-03-24,gdelhayk@ow.ly
21,Linus Dutton,"3 Cody Street",1990-12-09,cmaloneyl@nba.com
22,Kirsti Pickthorne,"22 Lakewood Alley",2004-07-23,jhovingtonm@technorati.com
23,Elsy Sorey,"285 Jenifer Crossing",2001-05-09,acockn@imageshack.us
24,Drusie Shankland,"4 Straubel Alley",2003-12-26,yglasscocko@imdb.com
25,Johnath Blakeborough,"7 Toban Terrace",1993-01-23,beldridgep@bloglovin.com
26,Belita Sukbhans,"6123 Artisan Terrace",1998-11-21,nronaldq@google.it
27,Danella Watkinson,"59 Merchant Point",1997-10-16,fduffitr@biglobe.ne.jp
28,Leoine Fuzzard,"82 Dunning Lane",2003-10-19,gtunbridges@soundcloud.com
29,Byran Kilsby,"862 Rowland Lane",1996-07-25,ashipcottt@tripadvisor.com
30,Averyl Joyce,"2 Myrtle Terrace",1997-02-24,athrasheru@yale.edu
