"order_id","craftsman_id","product_id","order_created_date","order_completion_date","order_status","customer_id","customer_name","customer_address","customer_birthday","customer_email"
1,1,1,2022-11-14,2022-11-16,done,1,Laney Dewfall,"99628 Magdeline Avenue",1997-02-03,ldewfall1@vistaprint.com
2,2,2,2018-08-25,,in progress,2,Branden Udie,"34 Swallow Junction",1999-12-03,budie2@cyberchimps.com
3,3,3,2020-05-15,,in progress,3,Desmund McSkin,"48137 Muir Park",1992-08-07,dmcskin3@si.edu
4,4,4,2019-12-28,,in progress,4,Burg Amberg,"33 Prairie Rose Way",2004-03-25,bamberg4@hostgator.com
5,5,5,2018-10-25,2018-10-26,done,5,Maris Freckelton,"4 Huxley Pass",1994-05-21,mfreckelton5@people.com.cn
6,6,6,2021-07-14,,delivery,6,Cesar Duncklee,"42332 Evergreen Pass",1994-10-27,cduncklee6@xing.com
7,7,7,2020-12-21,,delivery,7,Fair Rivlin,"7920 Village Green Place",1993-06-08,frivlin7@japanpost.jp
8,8,8,2018-10-26,2018-10-27,done,8,Bing Rising,"1851 Surrey Circle",1999-02-20,brising8@google.com.au
9,9,9,2022-05-10,,delivery,9,Pen Kirsche,"94 Burning Wood Alley",1992-01-31,pkirsche9@gmpg.org
10,10,10,2020-06-28,2020-06-29,done,10,Elka Mauro,"67 Montana Alley",1994-03-06,emauroa@com.com
11,11,11,2021-03-29,,delivery,11,Tabbie Bentjens,"8539 Eagan Parkway",2002-12-28,tbentjensb@ask.com
12,12,12,2019-11-17,,delivery,12,Karlik Tomlett,"17597 Longview Street",2000-01-18,ktomlettc@canalblog.com
13,13,13,2022-10-05,2022-10-08,done,13,Briant Malim,"417 Bluejay Court",1991-12-01,bmalimd@ibm.com
14,14,14,2019-02-08,2019-02-11,done,14,Norbie Moret,"235 Portage Street",1993-11-30,nmorete@istockphoto.com
15,15,15,2019-03-31,,created,15,Smitty Dowley,"582 Mitchell Hill",2001-01-05,sdowleyf@usa.gov
16,16,16,2022-02-10,,delivery,16,Gail Gytesham,"9038 Lighthouse Bay Avenue",1997-02-12,ggyteshamg@spiegel.de
17,17,17,2021-08-13,,created,17,Shaine Serman,"12 Carpenter Plaza",1996-08-11,ssermanh@google.fr
18,18,18,2022-12-15,,delivery,18,Jose Jellis,"3 Buena Vista Parkway",1994-03-18,jjellisi@craigslist.org
19,19,19,2018-09-25,,created,19,Renae Colbridge,"47236 Barnett Lane",1992-05-21,rcolbridgej@mayoclinic.com
20,20,20,2018-03-08,,in progress,20,Cosette Artiss,"9947 Esch Avenue",2002-05-17,cartissk@feedburner.com
21,21,21,2021-01-17,,created,21,Jandy Heakins,"4189 Carberry Street",2000-07-06,jheakinsl@youku.com
22,22,22,2020-07-23,,created,22,Maxi Fazakerley,"51 Cordelia Lane",1993-04-27,mfazakerleym@arizona.edu
23,23,23,2022-04-20,,delivery,23,Marmaduke Andreasen,"3 Elgar Road",2003-10-02,mandreasenn@ocn.ne.jp
24,24,24,2021-07-28,,created,24,Yance Tunnow,"38 Jenna Court",1998-11-16,ytunnowo@youtube.com
25,25,25,2020-10-11,2020-10-12,done,25,Aprilette Weatherhill,"43571 Esker Point",2003-08-28,aweatherhillp@skyrock.com
26,26,26,2022-01-08,,in progress,26,Kaja Maccaddie,"48 Hovde Drive",1995-05-19,kmaccaddieq@deviantart.com
27,27,27,2018-06-20,,created,27,Marchall Grunwald,"34 Lotheville Plaza",2001-12-08,mgrunwaldr@umn.edu
28,28,28,2020-06-17,,in progress,28,Gerty Stockell,"7 Walton Crossing",1995-11-23,gstockells@mediafire.com
29,29,29,2019-12-09,,created,29,Alyse Swinyard,"81 Bunker Hill Parkway",1990-01-13,aswinyardt@hugedomains.com
30,30,30,2022-11-24,,in progress,30,Tully Rennard,"18754 Lakewood Pass",1998-06-15,trennardu@nih.gov
31,31,31,2019-12-09,,in progress,31,Ajay Southam,"23779 Duke Parkway",1999-03-26,asouthamv@gizmodo.com
32,32,32,2022-09-02,,delivery,32,Duff MacRury,"65305 Sheridan Parkway",1995-07-09,dmacruryw@w3.org
33,33,33,2018-08-17,,created,33,Tudor Brunstan,"3428 Nelson Place",2004-05-14,tbrunstanx@ted.com
34,34,34,2022-12-07,,in progress,34,Phylys Blackway,"686 Pearson Circle",1993-12-30,pblackwayy@imdb.com
35,35,35,2020-08-23,,in progress,35,Viv Keach,"594 Hagan Junction",2000-01-14,vkeachz@answers.com
36,36,36,2021-01-28,,delivery,36,Maris Deluce,"11 Cardinal Place",2001-04-13,mdeluce10@hp.com
37,37,37,2022-03-10,,created,37,Jaynell Elmes,"57453 Dovetail Hill",1997-03-28,jelmes11@arstechnica.com
38,38,38,2018-08-19,,created,38,Portie McDuffy,"85 Kedzie Center",1993-02-24,pmcduffy12@uiuc.edu
39,39,39,2020-06-25,2020-06-26,done,39,Lesley Kyllford,"5 Loomis Place",1992-03-16,lkyllford13@fc2.com
40,40,40,2022-09-24,,created,40,Kathryne Berdale,"21684 Chinook Center",2003-07-24,kberdale14@newyorker.com
41,41,41,2021-02-15,,delivery,41,Rudd Killingsworth,"7121 Vermont Junction",1991-09-04,rkillingsworth15@constantcontact.com
42,42,42,2020-04-01,,in progress,42,Normy Pelfer,"703 Darwin Junction",1994-11-19,npelfer16@de.vu
43,43,43,2019-01-27,2019-01-29,done,43,Mariele Ayris,"89085 Warbler Crossing",2002-08-10,mayris17@arstechnica.com
44,44,44,2021-10-12,,created,44,Alexis De Freyne,"9368 Hallows Plaza",1996-04-07,ade18@youtu.be
45,45,45,2020-06-09,,in progress,45,Demeter Jouannisson,"22873 Oak Valley Park",2000-07-26,djouannisson19@uol.com.br
46,46,46,2022-11-19,,delivery,46,Munroe Keasy,"3 Novick Plaza",2001-08-19,mkeasy1a@yolasite.com
47,47,47,2020-08-07,,created,47,Moria Carme,"0 Muir Point",1995-03-04,mcarme1b@taobao.com
48,48,48,2022-07-10,,created,48,Rufe Padefield,"35056 Moland Center",1992-08-09,rpadefield1c@auda.org.au
49,49,49,2022-09-01,,in progress,49,Alfred Postin,"4 Cordelia Pass",2004-09-14,apostin1d@bandcamp.com
50,50,50,2022-03-27,,created,50,Hewitt Tankus,"32 Karstens Parkway",1991-01-27,htankus1e@google.de
51,51,51,2019-02-23,,in progress,51,Freemon McGloin,"545 Lindbergh Trail",1999-02-11,fmcgloin1f@phpbb.com
52,52,52,2020-10-11,2020-10-14,done,52,Morgana Iacobacci,"649 Raven Plaza",1998-03-23,miacobacci1g@people.com.cn
53,53,53,2022-01-14,2022-01-16,done,53,Sheilakathryn Tonbye,"6 Steensland Park",1996-06-21,stonbye1h@state.gov
54,54,54,2020-05-19,,delivery,54,Hally Jacquemot,"8 New Castle Junction",1994-01-28,hjacquemot1i@bandcamp.com
55,55,55,2020-12-24,,delivery,55,Townsend Hayball,"967 John Wall Circle",2001-06-06,thayball1j@so-net.ne.jp
56,56,56,2018-02-09,2018-02-11,done,56,Leopold Branca,"84623 Killdeer Parkway",1998-06-17,lbranca1k@wsj.com
57,57,57,2018-09-23,,delivery,57,Jaymee Esposito,"619 Hauk Road",1992-07-09,jesposito1l@cbsnews.com
58,58,58,2018-08-22,,created,58,Zola Trelease,"3792 Hoard Circle",2001-04-15,ztrelease1m@tinypic.com
59,59,59,2021-02-11,,in progress,59,Evelin Prozillo,"09 Huxley Junction",1996-07-26,eprozillo1n@naver.com
60,60,60,2020-10-12,,delivery,60,Zedekiah Wheatman,"32002 Commercial Junction",2002-08-24,zwheatman1o@mapquest.com
61,61,61,2020-12-16,,created,61,Lorenza Salvatore,"960 Londonderry Trail",2003-08-09,lsalvatore1p@t-online.de
62,62,62,2022-04-12,,in progress,62,Marlo Hubbuck,"4 Myrtle Lane",2001-05-08,mhubbuck1q@shop-pro.jp
63,63,63,2019-08-06,,in progress,63,Jolene Cody,"6371 Eagle Crest Park",2000-03-24,jcody1r@timesonline.co.uk
64,64,64,2020-12-05,,delivery,64,Myer Karpe,"2 Hanover Terrace",1997-11-25,mkarpe1s@mediafire.com
65,65,65,2018-06-12,,created,65,Adaline Viggers,"333 Buena Vista Place",1992-12-15,aviggers1t@amazon.de
66,66,66,2020-02-08,,in progress,66,Evvie Deniso,"82957 Derek Park",2001-11-29,edeniso1u@bing.com
67,67,67,2022-05-06,,delivery,67,Gerta Scurry,"07 Moland Trail",1998-05-01,gscurry1v@google.com.hk
68,68,68,2020-09-06,,created,68,Fredelia Ellerker,"78470 Crownhardt Park",1999-02-27,fellerker1w@princeton.edu
69,69,69,2022-10-31,,created,69,Clio Anespie,"1332 Oakridge Road",1994-06-12,canespie1x@dion.ne.jp
70,70,70,2020-09-05,,created,70,Eileen Glassman,"98 American Ash Road",1999-05-06,eglassman1y@businessinsider.com
71,71,71,2022-07-31,,created,71,Donal Pettett,"1 Debs Trail",1997-04-29,dpettett1z@sciencedaily.com
72,72,72,2021-02-19,2021-02-22,done,72,Manda Pridie,"778 Graedel Hill",2001-07-20,mpridie20@bluehost.com
73,73,73,2019-10-21,,in progress,73,Humberto Rosensaft,"05 Red Cloud Street",2000-12-17,hrosensaft21@upenn.edu
74,74,74,2020-12-28,2020-12-31,done,74,Merlina Yakubovics,"5 Susan Trail",1990-12-11,myakubovics22@cam.ac.uk
75,75,75,2018-05-02,,delivery,75,Lezley Shingfield,"802 Arrowood Drive",2003-05-30,lshingfield23@stanford.edu
76,76,76,2022-03-26,2022-03-27,done,76,Tarrance Greedyer,"6533 Brentwood Terrace",1998-10-01,tgreedyer24@tinypic.com
77,77,77,2019-11-01,,delivery,77,Raul Benettini,"373 Lake View Terrace",1997-08-06,rbenettini25@technorati.com
78,78,78,2019-06-03,,created,78,Zack Stellin,"7817 Brickson Park Point",1998-12-27,zstellin26@vkontakte.ru
79,79,79,2019-01-16,2019-01-17,done,79,Marcelle Stobo,"1493 Pearson Plaza",2004-03-19,mstobo27@apache.org
80,80,80,2021-09-23,2021-09-25,done,80,Gusty Kavanagh,"924 Onsgard Center",1996-02-17,gkavanagh28@nytimes.com
81,81,81,2019-09-13,,created,81,Jerrilee Bartley,"18374 Lyons Road",2002-08-24,jbartley29@nba.com
82,82,82,2022-05-01,2022-05-02,done,82,Elmo Teese,"893 Hanover Point",2000-02-27,eteese2a@google.com
83,83,83,2020-08-16,2020-08-19,done,83,Aleta Kitcatt,"52 Bunting Hill",1999-07-26,akitcatt2b@who.int
84,84,84,2022-08-16,2022-08-18,done,84,Had Wardley,"828 Mendota Avenue",1991-04-06,hwardley2c@nih.gov
85,85,85,2020-03-09,,delivery,85,Laurella Vanshin,"42 Ronald Regan Avenue",2004-06-06,lvanshin2d@europa.eu
86,86,86,2021-09-18,2021-09-21,done,86,Tallulah Horwell,"5 Drewry Way",1997-01-17,thorwell2e@umn.edu
87,87,87,2020-03-14,,created,87,Beaufort Ellicock,"85824 Dryden Trail",2004-04-20,bellicock2f@pcworld.com
88,88,88,2022-09-18,,delivery,88,La verne Hospital,"53249 Eliot Avenue",1993-03-13,lverne2g@salon.com
89,89,89,2022-05-06,,delivery,89,Samaria Bruyett,"62 Hermina Center",2003-07-10,sbruyett2h@fc2.com
90,90,90,2019-04-26,,in progress,90,Gilly Eim,"6 Havey Court",1998-02-19,geim2i@ovh.net
91,91,91,2020-05-01,,in progress,91,Booth Andrysiak,"5 Westport Park",1999-12-24,bandrysiak2j@twitpic.com
92,92,92,2022-05-15,,delivery,92,David Cutill,"09879 Warner Parkway",1999-10-02,dcutill2k@jigsy.com
93,93,93,2020-04-08,,in progress,93,Skippy Sorey,"98929 Forest Center",2002-03-27,ssorey2l@huffingtonpost.com
94,94,94,2022-11-04,,in progress,94,Kayle Brabender,"27 Claremont Street",2001-08-02,kbrabender2m@ocn.ne.jp
95,95,95,2020-01-07,2020-01-10,done,95,Tristam Rulton,"55 Texas Road",1998-08-09,trulton2n@scientificamerican.com
96,96,96,2020-07-08,,in progress,96,Wyndham Dietsche,"37 American Ash Drive",1993-07-16,wdietsche2o@yale.edu
97,97,97,2020-08-21,2020-08-23,done,97,Antonius Brunsden,"70677 Myrtle Avenue",2004-12-30,abrunsden2p@apache.org
98,98,98,2021-08-10,,delivery,98,Madeline Diffley,"19297 School Terrace",2000-07-05,mdiffley2q@skype.com
