"customer_id","customer_name","customer_address","customer_birthday","customer_email"
1,Merna Dyde,"1215 Butternut Plaza",1993-05-28,mdyde0@shop-pro.jp
2,Gerry Mitten,"2 Glacier Hill Pass",1991-06-07,gmitten1@state.tx.us
3,Lonnie Glencross,"1825 Clyde Gallagher Plaza",1987-06-25,lglencross2@purevolume.com
4,Franky Sexon,"2419 Glendale Place",2001-04-20,fsexon3@netscape.com
5,Wat Cunney,"37 Transport Place",2000-10-23,wcunney4@bloglines.com
6,Duffie Seagar,"7203 Sommers Terrace",1998-02-17,dseagar5@privacy.gov.au
7,Geoffry Labarre,"52178 Pleasure Avenue",1988-07-20,glabarre6@nationalgeographic.com
8,Deedee McKay,"576 Katie Pass",2000-08-26,dmckay7@instagram.com
9,Samuele Shoulder,"4337 Lighthouse Bay Pass",1985-08-05,sshoulder8@mail.ru
10,Rinaldo Mulqueeny,"857 Blaine Street",1998-07-15,rmulqueeny9@senate.gov
11,Ralph Dugan,"8 Grover Place",1993-10-11,rdugana@marriott.com
12,Tripp Baile,"754 Utah Place",1994-04-20,tbaileb@slate.com
13,Delmer Dacks,"05921 Warner Hill",1991-06-25,ddacksc@elpais.com
14,Corene Cawse,"4 Gulseth Point",1990-02-21,ccawsed@mac.com
15,Pansy Quarlis,"6858 Homewood Court",1986-10-06,pquarlise@cdbaby.com
16,Lorene O'Rudden,"57 Anderson Road",1993-06-18,loruddenf@bing.com
17,Derwin Hindes,"05 Forest Pass",1992-03-31,dhindesg@marriott.com
18,Silva Meagher,"7 Chive Circle",2001-03-11,smeagherh@amazonaws.com
19,Michail Le Huquet,"1 Forster Way",2001-06-22,mlei@ebay.com
20,Kandy Dorn,"13858 Arkansas Crossing",1990-11-21,kdornj@wired.com
21,Pollyanna Davidofski,"8345 Namekagon Trail",1999-09-20,pdavidofskik@posterous.com
22,Angil Hemmingway,"75 Sugar Avenue",1998-01-27,ahemmingwayl@github.io
23,Lyle Spohrmann,"6567 Coleman Point",1992-04-06,lspohrmannm@printfriendly.com
24,Tomlin Son,"134 Bayside Road",1992-08-17,tsonn@amazonaws.com
25,Tasia Kennan,"79048 Shasta Hill",1999-04-02,tkennano@irs.gov
26,Maxi Bergstrand,"48 Anniversary Alley",1986-01-16,mbergstrandp@bing.com
27,Florence Peskin,"49362 Continental Parkway",1991-04-24,fpeskinq@scientificamerican.com
28,Sibyl Andrini,"8796 Elka Circle",1989-05-18,sandrinir@gmpg.org
29,Constantina Tiley,"87636 Bonner Way",1998-04-02,ctileys@psu.edu
30,Evangelina Pretti,"4365 Goodland Parkway",1992-05-22,eprettit@shutterfly.com
31,Rodolph Vittori,"4161 Sloan Crossing",1992-07-24,rvittoriu@craigslist.org
32,Reena Staning,"6031 Dryden Way",1990-06-09,rstaningv@digg.com
33,Rollin Bowton,"4 Orin Trail",1995-05-31,rbowtonw@theguardian.com
34,Burch Clelle,"8138 Swallow Street",1996-09-03,bclellex@simplemachines.org
35,Tarah Gathwaite,"3 High Crossing Alley",1994-08-21,tgathwaitey@prweb.com
36,Jeffrey Peddel,"762 Grayhawk Circle",1998-05-12,jpeddelz@edublogs.org
37,Latrina Pauley,"36 Warbler Parkway",1988-11-29,lpauley10@npr.org
38,Burnard Gages,"1 Lyons Park",2002-06-22,bgages11@homestead.com
39,Ashlen Diaper,"6812 Laurel Crossing",2000-07-01,adiaper12@youku.com
40,Audi Jakeman,"1 Dayton Drive",1990-07-14,ajakeman13@psu.edu
41,Ginger Chastaing,"9427 Lakewood Road",1993-11-24,gchastaing14@dmoz.org
42,Veradis Riepl,"9692 Main Avenue",1993-08-03,vriepl15@taobao.com
43,Theodosia Renshell,"97626 Katie Center",1986-10-04,trenshell16@reddit.com
44,Naomi Sainer,"6898 Blackbird Point",1999-09-05,nsainer17@baidu.com
45,Dana Martyntsev,"26595 Loomis Trail",2002-09-22,dmartyntsev18@eepurl.com
46,Baxie Stathers,"474 Vera Avenue",2002-10-05,bstathers19@behance.net
47,Mattheus Weaben,"83 Sommers Park",2002-02-18,mweaben1a@desdev.cn
48,Bert McAvey,"93 Transport Avenue",1996-11-18,bmcavey1b@sfgate.com
49,Gladi Mechic,"84 Summerview Hill",1997-05-01,gmechic1c@google.ca
50,Jeffie Hallsworth,"75219 Russell Point",1987-01-04,jhallsworth1d@microsoft.com
51,Sonnie Haily,"7 Thompson Junction",1993-01-21,shaily1e@huffingtonpost.com
52,Aryn Kingh,"4494 Stuart Parkway",1988-10-26,akingh1f@topsy.com
53,Sansone Gosnold,"26 Express Place",1987-07-05,sgosnold1g@wsj.com
54,Felicio Angeau,"7815 Sycamore Plaza",1996-08-05,fangeau1h@fotki.com
55,Guido Tregale,"6 Hayes Terrace",1995-09-19,gtregale1i@shop-pro.jp
56,Rozamond Martineau,"33016 Dexter Park",1990-03-01,rmartineau1j@vkontakte.ru
57,Ransom Penticoot,"45799 Bluejay Lane",1995-05-06,rpenticoot1k@friendfeed.com
58,Carmela Witter,"87 Merchant Court",2000-01-01,cwitter1l@bloomberg.com
59,Garner Thurlby,"7143 Paget Court",1988-03-07,gthurlby1m@a8.net
60,Ingelbert Tansill,"488 Vernon Road",1994-02-06,itansill1n@ebay.com
61,Tab Royans,"315 Shasta Park",1997-05-11,troyans1o@networksolutions.com
62,Terry Brock,"38695 Del Mar Avenue",2000-09-24,tbrock1p@msu.edu
63,Dannye Tunsley,"4609 Quincy Lane",2002-03-07,dtunsley1q@smugmug.com
64,Willi Rozycki,"47799 School Way",1999-03-21,wrozycki1r@netscape.com
65,Constancy Andersson,"93 Carberry Trail",1986-07-30,candersson1s@e-recht24.de
66,Pen Crunkhurn,"0 Kennedy Pass",1988-12-07,pcrunkhurn1t@prlog.org
67,Ervin Crady,"43 Golf Course Parkway",1995-09-30,ecrady1u@timesonline.co.uk
68,Donielle Perocci,"893 Kedzie Street",1988-09-18,dperocci1v@theguardian.com
69,Zebadiah Habard,"86 Morning Avenue",1986-03-29,zhabard1w@state.gov
